Zone,Regime,Sector,Ann_Return,Index_Return,Alpha
US,GOLDILOCKS,XLK,0.263079521114656,0.17503519802250825,0.08804432309214774
US,GOLDILOCKS,XLY,0.220569349382541,0.17503519802250825,0.04553415136003275
US,GOLDILOCKS,XLF,0.1867266957328938,0.17503519802250825,0.011691497710385551
US,GOLDILOCKS,XLE,0.009362275129064153,0.17503519802250825,-0.1656729228934441
US,GOLDILOCKS,XLB,0.11050510598544486,0.17503519802250825,-0.06453009203706339
US,GOLDILOCKS,XLRE,0.100556732418047,0.17503519802250825,-0.07447846560446125
US,GOLDILOCKS,XLC,0.15400324605202131,0.17503519802250825,-0.021031951970486934
US,GOLDILOCKS,XLU,0.09961764482952352,0.17503519802250825,-0.07541755319298472
US,GOLDILOCKS,XLV,0.1777266096093728,0.17503519802250825,0.0026914115868645616
US,GOLDILOCKS,XLI,0.16468729363465,0.17503519802250825,-0.010347904387858237
US,GOLDILOCKS,DBC,-0.014947007322271055,0.17503519802250825,-0.1899822053447793
US,REFLATION,XLK,0.18700633815624298,0.1486864738847472,0.03831986427149578
US,REFLATION,XLY,0.16214196282125246,0.1486864738847472,0.01345548893650525
US,REFLATION,XLF,0.15983817485702118,0.1486864738847472,0.01115170097227397
US,REFLATION,XLE,0.2605184704119785,0.1486864738847472,0.1118319965272313
US,REFLATION,XLB,0.17823764532220382,0.1486864738847472,0.029551171437456614
US,REFLATION,XLRE,0.033396520107340094,0.1486864738847472,-0.11528995377740711
US,REFLATION,XLC,0.02596317566810109,0.1486864738847472,-0.12272329821664611
US,REFLATION,XLU,0.1622092980329834,0.1486864738847472,0.01352282414823619
US,REFLATION,XLV,0.14595261641320645,0.1486864738847472,-0.002733857471540757
US,REFLATION,XLI,0.19888661251695308,0.1486864738847472,0.050200138632205876
US,REFLATION,DBC,0.16255537287854757,0.1486864738847472,0.013868898993800366
US,STAGFLATION,XLK,-0.03742900342704804,-0.07123210253481149,0.033803099107763454
US,STAGFLATION,XLY,-0.24564825466474344,-0.07123210253481149,-0.17441615212993195
US,STAGFLATION,XLF,-0.09276006973617827,-0.07123210253481149,-0.02152796720136678
US,STAGFLATION,XLE,0.34953751158019075,-0.07123210253481149,0.42076961411500224
US,STAGFLATION,XLB,0.016906228161095157,-0.07123210253481149,0.08813833069590665
US,STAGFLATION,XLRE,-0.08050268421003652,-0.07123210253481149,-0.009270581675225029
US,STAGFLATION,XLC,-0.16324089901198385,-0.07123210253481149,-0.09200879647717236
US,STAGFLATION,XLU,0.13465276445064603,-0.07123210253481149,0.20588486698545752
US,STAGFLATION,XLV,0.03723862068932719,-0.07123210253481149,0.10847072322413868
US,STAGFLATION,XLI,-0.059141830687825844,-0.07123210253481149,0.012090271846985648
US,STAGFLATION,DBC,0.3490073172502234,-0.07123210253481149,0.4202394197850349
US,DEFLATION,XLK,-0.035684579517185434,-0.1289392309398975,0.09325465142271208
US,DEFLATION,XLY,0.0369970967546468,-0.1289392309398975,0.1659363276945443
US,DEFLATION,XLF,-0.2136485502083136,-0.1289392309398975,-0.0847093192684161
US,DEFLATION,XLE,-0.24369233820391745,-0.1289392309398975,-0.11475310726401994
US,DEFLATION,XLB,-0.09063600194021476,-0.1289392309398975,0.03830322899968275
US,DEFLATION,XLRE,0.007283808561669665,-0.1289392309398975,0.13622303950156717
US,DEFLATION,XLC,0.015349907509878725,-0.1289392309398975,0.14428913844977623
US,DEFLATION,XLU,-0.08944803140240752,-0.1289392309398975,0.03949119953748999
US,DEFLATION,XLV,-0.15495466112125827,-0.1289392309398975,-0.026015430181360766
US,DEFLATION,XLI,-0.10591612452119224,-0.1289392309398975,0.023023106418705266
US,DEFLATION,DBC,-0.3963988732879613,-0.1289392309398975,-0.2674596423480638
EU,GOLDILOCKS,EXV3.DE,0.1905264753976704,0.13087776039838359,0.05964871499928681
EU,GOLDILOCKS,EXV8.DE,0.18470362914344612,0.13087776039838359,0.05382586874506254
EU,GOLDILOCKS,EXV1.DE,0.18114091969403143,0.13087776039838359,0.05026315929564784
EU,GOLDILOCKS,EXV5.DE,0.17332299835962223,0.13087776039838359,0.04244523796123864
EU,GOLDILOCKS,EXV6.DE,0.09395318460158607,0.13087776039838359,-0.03692457579679752
EU,GOLDILOCKS,EXV4.DE,0.14357384616742125,0.13087776039838359,0.012696085769037663
EU,GOLDILOCKS,EXV2.DE,0.08544348839758822,0.13087776039838359,-0.04543427200079536
EU,GOLDILOCKS,EXW1.DE,0.14611851228921516,0.13087776039838359,0.015240751890831572
EU,GOLDILOCKS,EXI5.DE,0.10765296892716558,0.13087776039838359,-0.023224791471218004
EU,GOLDILOCKS,EXV9.DE,0.1540668657643788,0.13087776039838359,0.023189105365995222
EU,GOLDILOCKS,EXV7.DE,0.15052039403246106,0.13087776039838359,0.019642633634077478
EU,GOLDILOCKS,SXRS.DE,0.01628830542424533,0.13087776039838359,-0.11458945497413825
EU,REFLATION,EXV3.DE,0.2080529009895952,0.229938410558564,-0.021885509568968814
EU,REFLATION,EXV8.DE,0.2570737521213574,0.229938410558564,0.027135341562793402
EU,REFLATION,EXV1.DE,0.48753497725261513,0.229938410558564,0.2575965666940511
EU,REFLATION,EXV5.DE,0.16537967783036892,0.229938410558564,-0.0645587327281951
EU,REFLATION,EXV6.DE,0.48624269134719333,0.229938410558564,0.2563042807886293
EU,REFLATION,EXV4.DE,0.1578078452256323,0.229938410558564,-0.07213056533293172
EU,REFLATION,EXV2.DE,0.264934652152226,0.229938410558564,0.03499624159366199
EU,REFLATION,EXW1.DE,0.25218205948320077,0.229938410558564,0.02224364892463676
EU,REFLATION,EXI5.DE,0.19175110612902327,0.229938410558564,-0.03818730442954074
EU,REFLATION,EXV9.DE,0.10463933942303119,0.229938410558564,-0.12529907113553282
EU,REFLATION,EXV7.DE,0.10564256974252145,0.229938410558564,-0.12429584081604256
EU,REFLATION,SXRS.DE,0.22053763145094393,0.229938410558564,-0.009400779107620078
EU,STAGFLATION,EXV3.DE,-0.1740734090547619,-0.2367685873297343,0.0626951782749724
EU,STAGFLATION,EXV8.DE,-0.1905162013006331,-0.2367685873297343,0.0462523860291012
EU,STAGFLATION,EXV1.DE,-0.36623710512380364,-0.2367685873297343,-0.12946851779406934
EU,STAGFLATION,EXV5.DE,-0.17824170173520357,-0.2367685873297343,0.05852688559453073
EU,STAGFLATION,EXV6.DE,-0.0625561182061321,-0.2367685873297343,0.1742124691236022
EU,STAGFLATION,EXV4.DE,-0.09822922594135053,-0.2367685873297343,0.13853936138838377
EU,STAGFLATION,EXV2.DE,-0.1544223179159463,-0.2367685873297343,0.082346269413788
EU,STAGFLATION,EXW1.DE,-0.23015732701621022,-0.2367685873297343,0.0066112603135240755
EU,STAGFLATION,EXI5.DE,-0.23771357104778215,-0.2367685873297343,-0.0009449837180478537
EU,STAGFLATION,EXV9.DE,-0.14947685070613648,-0.2367685873297343,0.08729173662359782
